ts,requests,is_peak
2024-10-04 02:47:00,242,False
2024-10-04 02:48:00,1481,False
2024-10-04 02:49:00,563,False
2024-10-04 02:50:00,67,False
2024-10-04 02:51:00,1437,False
2024-10-04 02:52:00,1493,False
2024-10-04 02:53:00,1458,False
2024-10-04 02:54:00,1465,False
2024-10-04 02:55:00,1422,False
2024-10-04 02:56:00,1536,False
2024-10-04 02:57:00,1515,False
2024-10-04 02:58:00,1390,False
2024-10-04 02:59:00,1622,False
2024-10-04 03:00:00,1687,False
2024-10-04 03:01:00,1679,False
2024-10-04 03:02:00,2090,False
2024-10-04 03:03:00,3636,True
2024-10-04 03:04:00,1674,False
2024-10-04 03:05:00,1616,False
2024-10-04 03:06:00,1619,False
2024-10-04 03:07:00,1587,False
2024-10-04 03:08:00,1611,False
2024-10-04 03:09:00,1662,False
2024-10-04 03:10:00,1770,False
2024-10-04 03:11:00,1714,False
2024-10-04 03:12:00,1761,False
2024-10-04 03:13:00,1854,True
2024-10-04 03:14:00,1784,False
2024-10-04 03:15:00,1758,False
2024-10-04 03:16:00,1809,False
2024-10-04 03:17:00,1705,False
2024-10-04 03:18:00,1611,False
2024-10-04 03:19:00,1591,False
2024-10-04 03:20:00,1574,False
2024-10-04 03:21:00,1559,False
2024-10-04 03:22:00,1668,False
2024-10-04 03:23:00,1679,False
2024-10-04 03:24:00,1733,False
2024-10-04 03:25:00,1661,False
2024-10-04 03:26:00,1689,False
2024-10-04 03:27:00,1865,False
2024-10-04 03:28:00,2704,False
2024-10-04 03:29:00,2974,True
2024-10-04 03:30:00,1776,False
2024-10-04 03:31:00,1813,False
2024-10-04 03:32:00,1838,False
2024-10-04 03:33:00,1917,False
2024-10-04 03:34:00,1919,False
2024-10-04 03:35:00,1931,True
2024-10-04 03:36:00,1913,False
2024-10-04 03:37:00,1915,False
2024-10-04 03:38:00,1891,False
2024-10-04 03:39:00,1817,False
2024-10-04 03:40:00,1902,False
2024-10-04 03:41:00,1751,False
2024-10-04 03:42:00,323,False
2024-10-04 03:43:00,1037,False
2024-10-04 03:44:00,1788,False
2024-10-04 03:45:00,1784,False
2024-10-04 03:46:00,1883,False
2024-10-04 03:47:00,1848,False
2024-10-04 03:48:00,1804,False
2024-10-04 03:49:00,1923,True
2024-10-04 03:50:00,1793,False
2024-10-04 03:51:00,964,False
